,year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
303856,2007,36,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.832508913,125.5254984
302428,2007,50,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.40654018,81.98531783
84607,2004,35,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.812913357,123.0896998
11771,2005,49,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.716003344,111.7208494
375802,2008,48,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.301029996,200.5432623
231216,2006,28,5. Separated,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.505149978,90.48191336
233741,2006,38,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.103803721,164.6469889
305534,2007,51,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.826074803,124.7204462
377039,2008,29,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.51851394,91.69922611
88116,2004,33,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.397940009,81.28325328
9952,2005,36,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.106598813,60.73977852
82295,2004,25,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.414973348,82.6796373
14519,2005,51,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.698970004,109.8339856
86348,2004,67,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.079181246,160.6424754
230737,2006,42,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.397940009,81.28325328
303430,2007,43,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.954242509,141.7751723
87472,2004,49,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.633468456,102.8702469
379991,2008,66,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.397940009,81.28325328
154701,2003,44,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.72427587,112.6488963
80647,2004,58,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.77815125,118.8843593
154477,2003,58,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.176091259,65.11085372
233131,2006,50,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.716011695,111.7217824
8898,2005,34,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.544068044,94.07271475
450888,2009,29,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.556302501,95.23071257
232991,2006,46,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.682740581,108.0658303
160043,2003,43,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.283301229,72.4793163
227949,2006,43,5. Separated,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.62324929,101.8243521
86258,2004,51,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.301029996,73.77574327
159033,2003,49,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125,118.8843593
374851,2008,51,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.342422681,76.89360252
374326,2008,38,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.86332286,129.4536446
302976,2007,41,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.832508913,125.5254984
380298,2008,51,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.619093331,101.4020523
12249,2005,40,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.763427994,117.1468169
302085,2007,33,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.929418926,138.2991269
9691,2005,44,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.740362689,114.4757133
13145,2005,42,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.716003344,111.7208494
81141,2004,32,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.255272505,70.47601965
13820,2005,41,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.176091259,65.11085372
158091,2003,40,2. Married,4. Other,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.931874675,138.6391722
379397,2008,48,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.857332496,128.6804882
10076,2005,25,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.544068044,94.07271475
375238,2008,51,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.07809415,59.03285483
159048,2003,37,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.672097858,106.9218141
452313,2009,32,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.51851394,91.69922611
448535,2009,42,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.8162413,123.5000178
307301,2007,54,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77524626,118.5395025
304050,2007,39,2. Married,4. Other,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.653212514,104.9215065
83057,2004,35,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.880167384,131.6526987
159704,2003,62,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.591980114,268.266292
451860,2009,40,1. Never Married,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.544068044,94.07271475
447347,2009,39,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.973127854,144.4780877
233965,2006,20,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.255272505,70.47601965
453337,2009,42,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.290034611,198.3502905
153789,2003,39,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.35945602,78.21457569
153663,2003,33,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.380211242,79.85490031
303688,2007,45,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.096910013,163.515864
448578,2009,56,2. Married,4. Other,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.096910013,60.15412466
305951,2007,20,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.260071388,70.81503862
155513,2003,40,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.716003344,111.7208494
86280,2004,40,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.146128036,171.7651326
452170,2009,36,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.477121255,87.98103279
378510,2008,57,2. Married,4. Other,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.544068044,94.07271475
156087,2003,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.903089987,134.7053751
379558,2008,52,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.380211242,79.85490031
155900,2003,57,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.591980114,268.266292
83739,2004,42,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.606885241,272.2947832
234357,2006,28,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.167317335,64.54207487
452615,2009,35,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.755874856,116.2653241
447458,2009,57,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.857332496,128.6804882
376283,2008,24,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.477121255,87.98103279
447645,2009,36,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.464876871,86.91032774
228877,2006,30,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.84509804,127.1157438
227968,2006,50,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.176091259,176.9896505
304515,2007,38,4. Divorced,2. Black,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.653212514,104.9215065
155027,2003,27,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.147367108,23.27470405
9196,2005,24,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.301029996,73.77574327
157459,2003,60,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.079181246,59.09706408
86736,2004,51,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.991226076,147.1166892
228899,2006,22,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.505149978,90.48191336
159545,2003,49,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.027349608,152.5282169
302692,2007,48,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.579783597,97.49329405
377359,2008,29,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.204119983,182.020621
7495,2005,54,5. Separated,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.041392685,154.685293
379330,2008,60,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.812913357,123.0896998
161083,2003,48,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.892094603,133.2323508
376778,2008,37,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.568201724,96.37065283
229581,2006,50,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.079181246,59.09706408
8360,2005,50,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.579783597,97.49329405
8760,2005,51,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.826074803,124.7204462
14133,2005,45,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125,118.8843593
449074,2009,51,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.770852012,118.0197533
11666,2005,51,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.84509804,127.1157438
447174,2009,37,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.698970004,109.8339856
154728,2003,46,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125,118.8843593
229865,2006,56,5. Separated,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.602059991,99.6894637
453110,2009,27,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.602059991,99.6894637
452245,2009,48,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.991226076,147.1166892
379346,2008,48,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.681241237,107.9039239
154871,2003,27,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.792391689,120.5894365
232289,2006,53,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.903089987,134.7053751
87712,2004,38,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.875061263,48.18565022
86089,2004,30,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.740362689,114.4757133
229722,2006,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.602059991,99.6894637
306904,2007,39,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.290034611,198.3502905
84169,2004,40,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.322219295,75.35567932
301212,2007,48,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69019608,108.8745258
231066,2006,44,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.626899559,277.7994802
156257,2003,21,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.146128036,63.188861
307401,2007,48,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.69423655,109.31532
85017,2004,40,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.763427994,117.1468169
376076,2008,45,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.178401342,65.26143902
160895,2003,19,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.230448921,68.74808773
447357,2009,57,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.672097858,106.9218141
13027,2005,48,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.929418926,138.2991269
9698,2005,54,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125,118.8843593
157493,2003,47,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.176091259,176.9896505
87034,2004,37,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.439332694,84.7183897
13594,2005,45,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5,148.4131591
234086,2006,59,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.301029996,200.5432623
158517,2003,29,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.477121255,87.98103279
154008,2003,36,5. Separated,2. Black,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.51851394,91.69922611
161043,2003,38,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.62324929,101.8243521
450978,2009,52,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.079181246,160.6424754
82384,2004,42,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.556302501,95.23071257
453566,2009,58,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.698970004,109.8339856
14266,2005,59,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,3.991226076,54.1212054
379133,2008,66,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5,148.4131591
305903,2007,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.336459734,76.43645437
449852,2009,39,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.053078443,156.5035109
307325,2007,57,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.698970004,109.8339856
10964,2005,46,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.626186335,277.6014175
159441,2003,52,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.523538372,92.16112203
379618,2008,37,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.087071206,161.9149514
305209,2007,22,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.397940009,81.28325328
12284,2005,56,4. Divorced,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.322219295,75.35567932
230517,2006,55,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.924279286,137.5901428
155828,2003,41,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.653212514,104.9215065
83198,2004,31,5. Separated,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.544068044,94.07271475
87661,2004,18,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.025305865,55.99743383
158022,2003,40,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.477121255,87.98103279
156429,2003,45,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.963787827,143.1349408
11885,2005,52,2. Married,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.806179974,122.2636739
450900,2009,35,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.264817823,193.4110705
453137,2009,40,5. Separated,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.675778342,107.3160632
14481,2005,44,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.62324929,101.8243521
84600,2004,41,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.505149978,90.48191336
380248,2008,33,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.857332496,128.6804882
12002,2005,61,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.913813852,136.1577108
8841,2005,46,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.844477176,127.0368467
380151,2008,30,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.84509804,127.1157438
230497,2006,23,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.698970004,40.40566526
234513,2006,47,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
8667,2005,62,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.602059991,99.6894637
13456,2005,58,4. Divorced,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.397940009,81.28325328
159012,2003,20,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.342422681,76.89360252
230102,2006,65,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.653212514,104.9215065
156591,2003,45,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.079181246,160.6424754
378307,2008,39,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.857332496,128.6804882
375640,2008,40,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.079181246,160.6424754
448765,2009,30,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.832508913,125.5254984
83341,2004,47,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.397940009,81.28325328
9786,2005,53,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.318063335,75.04315402
11998,2005,50,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.716003344,111.7208494
13718,2005,45,4. Divorced,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.322219295,75.35567932
9064,2005,29,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.380211242,79.85490031
12837,2005,43,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.698970004,109.8339856
450052,2009,50,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.544068044,94.07271475
306484,2007,49,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.380211242,79.85490031
80406,2004,25,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.643452676,103.9024706
87269,2004,33,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.462397998,86.69515483
157534,2003,53,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.301029996,73.77574327
161421,2003,25,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.380211242,79.85490031
305370,2007,33,2. Married,2. Black,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.698970004,109.8339856
82989,2004,40,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.698970004,109.8339856
153433,2003,41,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.716003344,111.7208494
154604,2003,31,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.041392685,154.685293
86604,2004,38,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.176091259,176.9896505
82956,2004,58,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.544068044,94.07271475
374347,2008,61,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.669158757,106.6080215
380303,2008,22,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.397940009,81.28325328
156406,2003,39,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.812913357,123.0896998
158610,2003,34,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.643452676,103.9024706
156889,2003,45,3. Widowed,4. Other,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.544068044,94.07271475
13091,2005,45,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.397940009,81.28325328
82419,2004,23,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.278753601,72.15045568
9454,2005,50,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.204119983,182.020621
305946,2007,59,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.568201724,96.37065283
159201,2003,44,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
87121,2004,45,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.204119983,66.96164432
8653,2005,26,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.740362689,114.4757133
302614,2007,30,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125,118.8843593
161344,2003,25,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.380211242,79.85490031
80237,2004,33,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.619093331,101.4020523
153917,2003,43,5. Separated,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.380211242,79.85490031
449072,2009,30,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.544068044,94.07271475
85787,2004,76,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.301029996,73.77574327
14152,2005,50,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.51851394,91.69922611
450499,2009,57,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.954242509,141.7751723
450063,2009,36,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.84509804,127.1157438
155753,2003,25,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.477121255,87.98103279
231749,2006,54,5. Separated,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.626899559,277.7994802
85047,2004,43,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.903089987,134.7053751
302797,2007,27,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
